STATISTIC Label,Quarter,Sex,NACE Rev 2 Economic Sector,Region,UNIT,VALUE
Persons aged 15-89 years in Employment,2012Q1,Male,Construction (F),Dublin,Thousand,15.9
Persons aged 15-89 years in Employment,2012Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,36.3
Persons aged 15-89 years in Employment,2012Q1,Male,Transportation and storage (H),Dublin,Thousand,22.9
Persons aged 15-89 years in Employment,2012Q1,Male,Accommodation and food service activities (I),Dublin,Thousand,18.1
Persons aged 15-89 years in Employment,2012Q1,Male,Information and communication (J),Dublin,Thousand,27.8
Persons aged 15-89 years in Employment,2012Q1,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,24.9
Persons aged 15-89 years in Employment,2012Q1,Male,Administrative and support service activities (N),Dublin,Thousand,14.8
Persons aged 15-89 years in Employment,2012Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,13.7
Persons aged 15-89 years in Employment,2012Q1,Male,Education (P),Dublin,Thousand,12.1
Persons aged 15-89 years in Employment,2012Q1,Male,Human health and social work activities (Q),Dublin,Thousand,18.4
Persons aged 15-89 years in Employment,2012Q1,Male,Industry (B to E),Dublin,Thousand,26.5
Persons aged 15-89 years in Employment,2012Q1,Male,Industry and Construction (B to F),Dublin,Thousand,42.4
Persons aged 15-89 years in Employment,2012Q1,Male,Services (G to U),Dublin,Thousand,236
Persons aged 15-89 years in Employment,2012Q1,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,28.6
Persons aged 15-89 years in Employment,2012Q1,Male,Other NACE activities (R to U),Dublin,Thousand,18.4
Persons aged 15-89 years in Employment,2012Q1,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q1,Female,All NACE economic sectors,Dublin,Thousand,262.3
Persons aged 15-89 years in Employment,2012Q1,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q1,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,39
Persons aged 15-89 years in Employment,2012Q1,Female,Transportation and storage (H),Dublin,Thousand,7.4
Persons aged 15-89 years in Employment,2012Q1,Female,Accommodation and food service activities (I),Dublin,Thousand,13.5
Persons aged 15-89 years in Employment,2012Q1,Female,Information and communication (J),Dublin,Thousand,17
Persons aged 15-89 years in Employment,2012Q1,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,18.5
Persons aged 15-89 years in Employment,2012Q1,Female,Administrative and support service activities (N),Dublin,Thousand,10.4
Persons aged 15-89 years in Employment,2012Q1,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,11.5
Persons aged 15-89 years in Employment,2012Q1,Female,Education (P),Dublin,Thousand,27.7
Persons aged 15-89 years in Employment,2012Q1,Female,Human health and social work activities (Q),Dublin,Thousand,59.1
Persons aged 15-89 years in Employment,2012Q1,Female,Industry (B to E),Dublin,Thousand,13.4
Persons aged 15-89 years in Employment,2012Q1,Female,Industry and Construction (B to F),Dublin,Thousand,14.3
Persons aged 15-89 years in Employment,2012Q1,Female,Services (G to U),Dublin,Thousand,246.9
Persons aged 15-89 years in Employment,2012Q1,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,23.7
Persons aged 15-89 years in Employment,2012Q1,Female,Other NACE activities (R to U),Dublin,Thousand,19
Persons aged 15-89 years in Employment,2012Q1,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Both sexes,All NACE economic sectors,Dublin,Thousand,548.9
Persons aged 15-89 years in Employment,2012Q2,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Construction (F),Dublin,Thousand,16.1
Persons aged 15-89 years in Employment,2012Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,77.5
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Transportation and storage (H),Dublin,Thousand,30.8
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,30.5
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Information and communication (J),Dublin,Thousand,45.7
Persons aged 15-89 years in Employment,2012Q2,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,48.7
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Administrative and support service activities (N),Dublin,Thousand,25.6
Persons aged 15-89 years in Employment,2012Q2,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,26
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Education (P),Dublin,Thousand,40.5
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Human health and social work activities (Q),Dublin,Thousand,77.9
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Industry (B to E),Dublin,Thousand,38.9
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Industry and Construction (B to F),Dublin,Thousand,55
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Services (G to U),Dublin,Thousand,492.1
Persons aged 15-89 years in Employment,2012Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,50.7
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Other NACE activities (R to U),Dublin,Thousand,38.1
Persons aged 15-89 years in Employment,2012Q2,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Male,All NACE economic sectors,Dublin,Thousand,281.8
Persons aged 15-89 years in Employment,2012Q2,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Male,Construction (F),Dublin,Thousand,15.5
Persons aged 15-89 years in Employment,2012Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,37.8
Persons aged 15-89 years in Employment,2012Q2,Male,Transportation and storage (H),Dublin,Thousand,23.1
Persons aged 15-89 years in Employment,2012Q2,Male,Accommodation and food service activities (I),Dublin,Thousand,17.1
Persons aged 15-89 years in Employment,2012Q2,Male,Information and communication (J),Dublin,Thousand,29.7
Persons aged 15-89 years in Employment,2012Q2,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,28
Persons aged 15-89 years in Employment,2012Q2,Male,Administrative and support service activities (N),Dublin,Thousand,14.4
Persons aged 15-89 years in Employment,2012Q2,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,14.9
Persons aged 15-89 years in Employment,2012Q2,Male,Education (P),Dublin,Thousand,11.6
Persons aged 15-89 years in Employment,2012Q2,Male,Human health and social work activities (Q),Dublin,Thousand,18.8
Persons aged 15-89 years in Employment,2012Q2,Male,Industry (B to E),Dublin,Thousand,26.8
Persons aged 15-89 years in Employment,2012Q2,Male,Industry and Construction (B to F),Dublin,Thousand,42.3
Persons aged 15-89 years in Employment,2012Q2,Male,Services (G to U),Dublin,Thousand,238.4
Persons aged 15-89 years in Employment,2012Q2,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,26.9
Persons aged 15-89 years in Employment,2012Q2,Male,Other NACE activities (R to U),Dublin,Thousand,16
Persons aged 15-89 years in Employment,2012Q2,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Female,All NACE economic sectors,Dublin,Thousand,267
Persons aged 15-89 years in Employment,2012Q2,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,39.8
Persons aged 15-89 years in Employment,2012Q2,Female,Transportation and storage (H),Dublin,Thousand,7.7
Persons aged 15-89 years in Employment,2012Q2,Female,Accommodation and food service activities (I),Dublin,Thousand,13.4
Persons aged 15-89 years in Employment,2012Q2,Female,Information and communication (J),Dublin,Thousand,16
Persons aged 15-89 years in Employment,2012Q2,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,20.7
Persons aged 15-89 years in Employment,2012Q2,Female,Administrative and support service activities (N),Dublin,Thousand,11.2
Persons aged 15-89 years in Employment,2012Q2,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,11.1
Persons aged 15-89 years in Employment,2012Q2,Female,Education (P),Dublin,Thousand,28.9
Persons aged 15-89 years in Employment,2012Q2,Female,Human health and social work activities (Q),Dublin,Thousand,59.1
Persons aged 15-89 years in Employment,2012Q2,Female,Industry (B to E),Dublin,Thousand,12
Persons aged 15-89 years in Employment,2012Q2,Female,Industry and Construction (B to F),Dublin,Thousand,12.7
Persons aged 15-89 years in Employment,2012Q2,Female,Services (G to U),Dublin,Thousand,253.7
Persons aged 15-89 years in Employment,2012Q2,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,23.7
Persons aged 15-89 years in Employment,2012Q2,Female,Other NACE activities (R to U),Dublin,Thousand,22.2
Persons aged 15-89 years in Employment,2012Q2,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Both sexes,All NACE economic sectors,Dublin,Thousand,552.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Construction (F),Dublin,Thousand,15.4
Persons aged 15-89 years in Employment,2012Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,76.7
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Transportation and storage (H),Dublin,Thousand,30.8
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,33.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Information and communication (J),Dublin,Thousand,43
Persons aged 15-89 years in Employment,2012Q3,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,47.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Administrative and support service activities (N),Dublin,Thousand,28.4
Persons aged 15-89 years in Employment,2012Q3,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,27.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Education (P),Dublin,Thousand,36
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Human health and social work activities (Q),Dublin,Thousand,80.6
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Industry (B to E),Dublin,Thousand,38.8
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Industry and Construction (B to F),Dublin,Thousand,54.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Services (G to U),Dublin,Thousand,494.4
Persons aged 15-89 years in Employment,2012Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,53.1
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Other NACE activities (R to U),Dublin,Thousand,38.2
Persons aged 15-89 years in Employment,2012Q3,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Male,All NACE economic sectors,Dublin,Thousand,285.7
Persons aged 15-89 years in Employment,2012Q3,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Male,Construction (F),Dublin,Thousand,14.3
Persons aged 15-89 years in Employment,2012Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,37.6
Persons aged 15-89 years in Employment,2012Q3,Male,Transportation and storage (H),Dublin,Thousand,24
Persons aged 15-89 years in Employment,2012Q3,Male,Accommodation and food service activities (I),Dublin,Thousand,18.4
Persons aged 15-89 years in Employment,2012Q3,Male,Information and communication (J),Dublin,Thousand,28.2
Persons aged 15-89 years in Employment,2012Q3,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,27.8
Persons aged 15-89 years in Employment,2012Q3,Male,Administrative and support service activities (N),Dublin,Thousand,15.8
Persons aged 15-89 years in Employment,2012Q3,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,14.7
Persons aged 15-89 years in Employment,2012Q3,Male,Education (P),Dublin,Thousand,11.4
Persons aged 15-89 years in Employment,2012Q3,Male,Human health and social work activities (Q),Dublin,Thousand,20.4
Persons aged 15-89 years in Employment,2012Q3,Male,Industry (B to E),Dublin,Thousand,26.9
Persons aged 15-89 years in Employment,2012Q3,Male,Industry and Construction (B to F),Dublin,Thousand,41.2
Persons aged 15-89 years in Employment,2012Q3,Male,Services (G to U),Dublin,Thousand,242.7
Persons aged 15-89 years in Employment,2012Q3,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,27.9
Persons aged 15-89 years in Employment,2012Q3,Male,Other NACE activities (R to U),Dublin,Thousand,16.4
Persons aged 15-89 years in Employment,2012Q3,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Female,All NACE economic sectors,Dublin,Thousand,266.5
Persons aged 15-89 years in Employment,2012Q3,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,39
Persons aged 15-89 years in Employment,2012Q3,Female,Transportation and storage (H),Dublin,Thousand,6.7
Persons aged 15-89 years in Employment,2012Q3,Female,Accommodation and food service activities (I),Dublin,Thousand,14.8
Persons aged 15-89 years in Employment,2012Q3,Female,Information and communication (J),Dublin,Thousand,14.8
Persons aged 15-89 years in Employment,2012Q3,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,19.4
Persons aged 15-89 years in Employment,2012Q3,Female,Administrative and support service activities (N),Dublin,Thousand,12.6
Persons aged 15-89 years in Employment,2012Q3,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,12.5
Persons aged 15-89 years in Employment,2012Q3,Female,Education (P),Dublin,Thousand,24.6
Persons aged 15-89 years in Employment,2012Q3,Female,Human health and social work activities (Q),Dublin,Thousand,60.2
Persons aged 15-89 years in Employment,2012Q3,Female,Industry (B to E),Dublin,Thousand,11.9
Persons aged 15-89 years in Employment,2012Q3,Female,Industry and Construction (B to F),Dublin,Thousand,13
Persons aged 15-89 years in Employment,2012Q3,Female,Services (G to U),Dublin,Thousand,251.7
Persons aged 15-89 years in Employment,2012Q3,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,25.2
Persons aged 15-89 years in Employment,2012Q3,Female,Other NACE activities (R to U),Dublin,Thousand,21.8
Persons aged 15-89 years in Employment,2012Q3,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Both sexes,All NACE economic sectors,Dublin,Thousand,559.5
Persons aged 15-89 years in Employment,2012Q4,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Construction (F),Dublin,Thousand,15.6
Persons aged 15-89 years in Employment,2012Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,78.8
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Transportation and storage (H),Dublin,Thousand,30.3
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,33.8
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Information and communication (J),Dublin,Thousand,45.2
Persons aged 15-89 years in Employment,2012Q4,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,48.4
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Administrative and support service activities (N),Dublin,Thousand,28.4
Persons aged 15-89 years in Employment,2012Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,27
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Education (P),Dublin,Thousand,36.4
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Human health and social work activities (Q),Dublin,Thousand,80.1
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Industry (B to E),Dublin,Thousand,42.4
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Industry and Construction (B to F),Dublin,Thousand,58
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Services (G to U),Dublin,Thousand,498.5
Persons aged 15-89 years in Employment,2012Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,54.7
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Other NACE activities (R to U),Dublin,Thousand,35.3
Persons aged 15-89 years in Employment,2012Q4,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Male,All NACE economic sectors,Dublin,Thousand,288.3
Persons aged 15-89 years in Employment,2012Q4,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Male,Construction (F),Dublin,Thousand,14.4
Persons aged 15-89 years in Employment,2012Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,37.7
Persons aged 15-89 years in Employment,2012Q4,Male,Transportation and storage (H),Dublin,Thousand,23.8
Persons aged 15-89 years in Employment,2012Q4,Male,Accommodation and food service activities (I),Dublin,Thousand,19.8
Persons aged 15-89 years in Employment,2012Q4,Male,Information and communication (J),Dublin,Thousand,29.6
Persons aged 15-89 years in Employment,2012Q4,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,27.2
Persons aged 15-89 years in Employment,2012Q4,Male,Administrative and support service activities (N),Dublin,Thousand,15.9
Persons aged 15-89 years in Employment,2012Q4,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,15.1
Persons aged 15-89 years in Employment,2012Q4,Male,Education (P),Dublin,Thousand,11
Persons aged 15-89 years in Employment,2012Q4,Male,Human health and social work activities (Q),Dublin,Thousand,19.2
Persons aged 15-89 years in Employment,2012Q4,Male,Industry (B to E),Dublin,Thousand,27.4
Persons aged 15-89 years in Employment,2012Q4,Male,Industry and Construction (B to F),Dublin,Thousand,41.8
Persons aged 15-89 years in Employment,2012Q4,Male,Services (G to U),Dublin,Thousand,244.5
Persons aged 15-89 years in Employment,2012Q4,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,30.2
Persons aged 15-89 years in Employment,2012Q4,Male,Other NACE activities (R to U),Dublin,Thousand,15.1
Persons aged 15-89 years in Employment,2012Q4,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Female,All NACE economic sectors,Dublin,Thousand,271.3
Persons aged 15-89 years in Employment,2012Q4,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2012Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,41.1
Persons aged 15-89 years in Employment,2012Q4,Female,Transportation and storage (H),Dublin,Thousand,6.5
Persons aged 15-89 years in Employment,2012Q4,Female,Accommodation and food service activities (I),Dublin,Thousand,14.1
Persons aged 15-89 years in Employment,2012Q4,Female,Information and communication (J),Dublin,Thousand,15.6
Persons aged 15-89 years in Employment,2012Q4,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,21.2
Persons aged 15-89 years in Employment,2012Q4,Female,Administrative and support service activities (N),Dublin,Thousand,12.5
Persons aged 15-89 years in Employment,2012Q4,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,11.9
Persons aged 15-89 years in Employment,2012Q4,Female,Education (P),Dublin,Thousand,25.4
Persons aged 15-89 years in Employment,2012Q4,Female,Human health and social work activities (Q),Dublin,Thousand,60.9
Persons aged 15-89 years in Employment,2012Q4,Female,Industry (B to E),Dublin,Thousand,15
Persons aged 15-89 years in Employment,2012Q4,Female,Industry and Construction (B to F),Dublin,Thousand,16.2
Persons aged 15-89 years in Employment,2012Q4,Female,Services (G to U),Dublin,Thousand,254
Persons aged 15-89 years in Employment,2012Q4,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,24.5
Persons aged 15-89 years in Employment,2012Q4,Female,Other NACE activities (R to U),Dublin,Thousand,20.2
Persons aged 15-89 years in Employment,2012Q4,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Both sexes,All NACE economic sectors,Dublin,Thousand,549.5
Persons aged 15-89 years in Employment,2013Q1,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Construction (F),Dublin,Thousand,14.3
Persons aged 15-89 years in Employment,2013Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,78.6
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Transportation and storage (H),Dublin,Thousand,29.2
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,35.9
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Information and communication (J),Dublin,Thousand,41.7
Persons aged 15-89 years in Employment,2013Q1,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,47.3
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Administrative and support service activities (N),Dublin,Thousand,26.6
Persons aged 15-89 years in Employment,2013Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,26.2
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Education (P),Dublin,Thousand,34.7
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Human health and social work activities (Q),Dublin,Thousand,82.5
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Industry (B to E),Dublin,Thousand,40.2
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Industry and Construction (B to F),Dublin,Thousand,54.5
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Services (G to U),Dublin,Thousand,492.1
Persons aged 15-89 years in Employment,2013Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,54.3
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Other NACE activities (R to U),Dublin,Thousand,35.3
Persons aged 15-89 years in Employment,2013Q1,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Male,All NACE economic sectors,Dublin,Thousand,287.3
Persons aged 15-89 years in Employment,2013Q1,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Male,Construction (F),Dublin,Thousand,13.4
Persons aged 15-89 years in Employment,2013Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,40.8
Persons aged 15-89 years in Employment,2013Q1,Male,Transportation and storage (H),Dublin,Thousand,23.2
Persons aged 15-89 years in Employment,2013Q1,Male,Accommodation and food service activities (I),Dublin,Thousand,21.3
Persons aged 15-89 years in Employment,2013Q1,Male,Information and communication (J),Dublin,Thousand,26.3
Persons aged 15-89 years in Employment,2013Q1,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,27.1
Persons aged 15-89 years in Employment,2013Q1,Male,Administrative and support service activities (N),Dublin,Thousand,14.6
Persons aged 15-89 years in Employment,2013Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,15.2
Persons aged 15-89 years in Employment,2013Q1,Male,Education (P),Dublin,Thousand,9.4
Persons aged 15-89 years in Employment,2013Q1,Male,Human health and social work activities (Q),Dublin,Thousand,20.7
Persons aged 15-89 years in Employment,2013Q1,Male,Industry (B to E),Dublin,Thousand,26.3
Persons aged 15-89 years in Employment,2013Q1,Male,Industry and Construction (B to F),Dublin,Thousand,39.7
Persons aged 15-89 years in Employment,2013Q1,Male,Services (G to U),Dublin,Thousand,245.5
Persons aged 15-89 years in Employment,2013Q1,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,31.1
Persons aged 15-89 years in Employment,2013Q1,Male,Other NACE activities (R to U),Dublin,Thousand,15.8
Persons aged 15-89 years in Employment,2013Q1,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Female,All NACE economic sectors,Dublin,Thousand,262.2
Persons aged 15-89 years in Employment,2013Q1,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,37.9
Persons aged 15-89 years in Employment,2013Q1,Female,Transportation and storage (H),Dublin,Thousand,6
Persons aged 15-89 years in Employment,2013Q1,Female,Accommodation and food service activities (I),Dublin,Thousand,14.6
Persons aged 15-89 years in Employment,2013Q1,Female,Information and communication (J),Dublin,Thousand,15.4
Persons aged 15-89 years in Employment,2013Q1,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,20.2
Persons aged 15-89 years in Employment,2013Q1,Female,Administrative and support service activities (N),Dublin,Thousand,12
Persons aged 15-89 years in Employment,2013Q1,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,11
Persons aged 15-89 years in Employment,2013Q1,Female,Education (P),Dublin,Thousand,25.3
Persons aged 15-89 years in Employment,2013Q1,Female,Human health and social work activities (Q),Dublin,Thousand,61.8
Persons aged 15-89 years in Employment,2013Q1,Female,Industry (B to E),Dublin,Thousand,13.9
Persons aged 15-89 years in Employment,2013Q1,Female,Industry and Construction (B to F),Dublin,Thousand,14.8
Persons aged 15-89 years in Employment,2013Q1,Female,Services (G to U),Dublin,Thousand,246.7
