STATISTIC,Statistic Label,TLIST(M1),Year,Month,C02076V02508,Age Group,Sex,UNIT,VALUE
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,4350,25 - 74 years,Male,Thousand,52.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199805,1998,May,4350,25 - 74 years,Female,Thousand,36.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,310,15 - 24 years,Both sexes,Thousand,43.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,310,15 - 24 years,Male,Thousand,25
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,310,15 - 24 years,Female,Thousand,18.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,316,15 - 74 years,Both sexes,Thousand,129.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,316,15 - 74 years,Male,Thousand,76.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,316,15 - 74 years,Female,Thousand,53.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,4350,25 - 74 years,Both sexes,Thousand,85.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,4350,25 - 74 years,Male,Thousand,51
MUM01C01,Seasonally Adjusted Monthly Unemployment,199806,1998,June,4350,25 - 74 years,Female,Thousand,34.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,310,15 - 24 years,Both sexes,Thousand,42.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,310,15 - 24 years,Male,Thousand,24.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,310,15 - 24 years,Female,Thousand,17.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,316,15 - 74 years,Both sexes,Thousand,127.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,316,15 - 74 years,Male,Thousand,75.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,316,15 - 74 years,Female,Thousand,52.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,4350,25 - 74 years,Both sexes,Thousand,85.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,4350,25 - 74 years,Male,Thousand,50.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199807,1998,July,4350,25 - 74 years,Female,Thousand,34.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,310,15 - 24 years,Both sexes,Thousand,41.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,310,15 - 24 years,Male,Thousand,24.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,310,15 - 24 years,Female,Thousand,17.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,316,15 - 74 years,Both sexes,Thousand,124.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,316,15 - 74 years,Male,Thousand,73.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,316,15 - 74 years,Female,Thousand,51.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,4350,25 - 74 years,Both sexes,Thousand,83.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,4350,25 - 74 years,Male,Thousand,49.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199808,1998,August,4350,25 - 74 years,Female,Thousand,33.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,310,15 - 24 years,Both sexes,Thousand,41.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,310,15 - 24 years,Male,Thousand,24.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,310,15 - 24 years,Female,Thousand,17.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,316,15 - 74 years,Both sexes,Thousand,123.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,316,15 - 74 years,Male,Thousand,72.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,316,15 - 74 years,Female,Thousand,50.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,4350,25 - 74 years,Both sexes,Thousand,82.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,4350,25 - 74 years,Male,Thousand,48.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199809,1998,September,4350,25 - 74 years,Female,Thousand,33.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,310,15 - 24 years,Both sexes,Thousand,41
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,310,15 - 24 years,Male,Thousand,23.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,310,15 - 24 years,Female,Thousand,17.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,316,15 - 74 years,Both sexes,Thousand,118.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,316,15 - 74 years,Male,Thousand,69.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,316,15 - 74 years,Female,Thousand,49.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,4350,25 - 74 years,Both sexes,Thousand,77.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,4350,25 - 74 years,Male,Thousand,45.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199810,1998,October,4350,25 - 74 years,Female,Thousand,31.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,310,15 - 24 years,Both sexes,Thousand,40.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,310,15 - 24 years,Male,Thousand,22.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,310,15 - 24 years,Female,Thousand,17.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,316,15 - 74 years,Both sexes,Thousand,114.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,316,15 - 74 years,Male,Thousand,66.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,316,15 - 74 years,Female,Thousand,48.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,4350,25 - 74 years,Both sexes,Thousand,74.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,4350,25 - 74 years,Male,Thousand,43.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199811,1998,November,4350,25 - 74 years,Female,Thousand,30.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,310,15 - 24 years,Both sexes,Thousand,40.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,310,15 - 24 years,Male,Thousand,22.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,310,15 - 24 years,Female,Thousand,17.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,316,15 - 74 years,Both sexes,Thousand,113.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,316,15 - 74 years,Male,Thousand,65.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,316,15 - 74 years,Female,Thousand,48.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,4350,25 - 74 years,Both sexes,Thousand,72.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,4350,25 - 74 years,Male,Thousand,42.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199812,1998,December,4350,25 - 74 years,Female,Thousand,30.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,310,15 - 24 years,Both sexes,Thousand,40.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,310,15 - 24 years,Male,Thousand,22.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,310,15 - 24 years,Female,Thousand,17.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,316,15 - 74 years,Both sexes,Thousand,112.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,316,15 - 74 years,Male,Thousand,65
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,316,15 - 74 years,Female,Thousand,47.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,4350,25 - 74 years,Both sexes,Thousand,72.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,4350,25 - 74 years,Male,Thousand,42.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199901,1999,January,4350,25 - 74 years,Female,Thousand,30.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,310,15 - 24 years,Both sexes,Thousand,39.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,310,15 - 24 years,Male,Thousand,22.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,310,15 - 24 years,Female,Thousand,16.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,316,15 - 74 years,Both sexes,Thousand,110.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,316,15 - 74 years,Male,Thousand,64.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,316,15 - 74 years,Female,Thousand,46.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,4350,25 - 74 years,Both sexes,Thousand,71.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,4350,25 - 74 years,Male,Thousand,41.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199902,1999,February,4350,25 - 74 years,Female,Thousand,29.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,310,15 - 24 years,Both sexes,Thousand,38.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,310,15 - 24 years,Male,Thousand,22.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,310,15 - 24 years,Female,Thousand,16.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,316,15 - 74 years,Both sexes,Thousand,110
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,316,15 - 74 years,Male,Thousand,63.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,316,15 - 74 years,Female,Thousand,46.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,4350,25 - 74 years,Both sexes,Thousand,71.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,4350,25 - 74 years,Male,Thousand,41.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199903,1999,March,4350,25 - 74 years,Female,Thousand,29.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,310,15 - 24 years,Both sexes,Thousand,38.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,310,15 - 24 years,Male,Thousand,21.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,310,15 - 24 years,Female,Thousand,16.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,316,15 - 74 years,Both sexes,Thousand,108.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,316,15 - 74 years,Male,Thousand,63.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,316,15 - 74 years,Female,Thousand,45.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,4350,25 - 74 years,Both sexes,Thousand,70.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,4350,25 - 74 years,Male,Thousand,41.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199904,1999,April,4350,25 - 74 years,Female,Thousand,29.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,310,15 - 24 years,Both sexes,Thousand,37.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,310,15 - 24 years,Male,Thousand,21.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,310,15 - 24 years,Female,Thousand,16.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,316,15 - 74 years,Both sexes,Thousand,108.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,316,15 - 74 years,Male,Thousand,62.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,316,15 - 74 years,Female,Thousand,45.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,4350,25 - 74 years,Both sexes,Thousand,70.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,4350,25 - 74 years,Male,Thousand,41.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199905,1999,May,4350,25 - 74 years,Female,Thousand,29.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,310,15 - 24 years,Both sexes,Thousand,36.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,310,15 - 24 years,Male,Thousand,20.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,310,15 - 24 years,Female,Thousand,15.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,316,15 - 74 years,Both sexes,Thousand,104.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,316,15 - 74 years,Male,Thousand,60.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,316,15 - 74 years,Female,Thousand,44.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,4350,25 - 74 years,Both sexes,Thousand,67.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,4350,25 - 74 years,Male,Thousand,39.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199906,1999,June,4350,25 - 74 years,Female,Thousand,28.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,310,15 - 24 years,Both sexes,Thousand,35.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,310,15 - 24 years,Male,Thousand,19.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,310,15 - 24 years,Female,Thousand,15.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,316,15 - 74 years,Both sexes,Thousand,100.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,316,15 - 74 years,Male,Thousand,57.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,316,15 - 74 years,Female,Thousand,42.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,4350,25 - 74 years,Both sexes,Thousand,64.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,4350,25 - 74 years,Male,Thousand,38
MUM01C01,Seasonally Adjusted Monthly Unemployment,199907,1999,July,4350,25 - 74 years,Female,Thousand,27
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,310,15 - 24 years,Both sexes,Thousand,34.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,310,15 - 24 years,Male,Thousand,19.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,310,15 - 24 years,Female,Thousand,15.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,316,15 - 74 years,Both sexes,Thousand,96.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,316,15 - 74 years,Male,Thousand,55
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,316,15 - 74 years,Female,Thousand,41.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,4350,25 - 74 years,Both sexes,Thousand,62.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,4350,25 - 74 years,Male,Thousand,35.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199908,1999,August,4350,25 - 74 years,Female,Thousand,26.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,310,15 - 24 years,Both sexes,Thousand,34.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,310,15 - 24 years,Male,Thousand,19.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,310,15 - 24 years,Female,Thousand,14.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,316,15 - 74 years,Both sexes,Thousand,97.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,316,15 - 74 years,Male,Thousand,54.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,316,15 - 74 years,Female,Thousand,42.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,4350,25 - 74 years,Both sexes,Thousand,63.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,4350,25 - 74 years,Male,Thousand,35.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199909,1999,September,4350,25 - 74 years,Female,Thousand,27.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,310,15 - 24 years,Both sexes,Thousand,33.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,310,15 - 24 years,Male,Thousand,19.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,310,15 - 24 years,Female,Thousand,14.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,316,15 - 74 years,Both sexes,Thousand,98.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,316,15 - 74 years,Male,Thousand,54.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,316,15 - 74 years,Female,Thousand,43.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,4350,25 - 74 years,Both sexes,Thousand,64.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,4350,25 - 74 years,Male,Thousand,35.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199910,1999,October,4350,25 - 74 years,Female,Thousand,29.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,310,15 - 24 years,Both sexes,Thousand,32.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,310,15 - 24 years,Male,Thousand,18.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,310,15 - 24 years,Female,Thousand,13.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,316,15 - 74 years,Both sexes,Thousand,96.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,316,15 - 74 years,Male,Thousand,53.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,316,15 - 74 years,Female,Thousand,43.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,4350,25 - 74 years,Both sexes,Thousand,64.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,4350,25 - 74 years,Male,Thousand,34.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,199911,1999,November,4350,25 - 74 years,Female,Thousand,29.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,310,15 - 24 years,Both sexes,Thousand,31.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,310,15 - 24 years,Male,Thousand,17.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,310,15 - 24 years,Female,Thousand,13.8
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,316,15 - 74 years,Both sexes,Thousand,94
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,316,15 - 74 years,Male,Thousand,52.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,316,15 - 74 years,Female,Thousand,41.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,4350,25 - 74 years,Both sexes,Thousand,62.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,4350,25 - 74 years,Male,Thousand,34.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,199912,1999,December,4350,25 - 74 years,Female,Thousand,28.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,310,15 - 24 years,Both sexes,Thousand,31.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,310,15 - 24 years,Male,Thousand,17.2
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,310,15 - 24 years,Female,Thousand,14.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,316,15 - 74 years,Both sexes,Thousand,90.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,316,15 - 74 years,Male,Thousand,50.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,316,15 - 74 years,Female,Thousand,39.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,4350,25 - 74 years,Both sexes,Thousand,59
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,4350,25 - 74 years,Male,Thousand,33.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,200001,2000,January,4350,25 - 74 years,Female,Thousand,25.5
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,310,15 - 24 years,Both sexes,Thousand,30.6
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,310,15 - 24 years,Male,Thousand,16.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,310,15 - 24 years,Female,Thousand,14.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,316,15 - 74 years,Both sexes,Thousand,87.7
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,316,15 - 74 years,Male,Thousand,49.3
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,316,15 - 74 years,Female,Thousand,38.4
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,4350,25 - 74 years,Both sexes,Thousand,57
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,4350,25 - 74 years,Male,Thousand,32.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,200002,2000,February,4350,25 - 74 years,Female,Thousand,24.1
MUM01C01,Seasonally Adjusted Monthly Unemployment,200003,2000,March,310,15 - 24 years,Both sexes,Thousand,29.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,200003,2000,March,310,15 - 24 years,Male,Thousand,16
MUM01C01,Seasonally Adjusted Monthly Unemployment,200003,2000,March,310,15 - 24 years,Female,Thousand,13.9
MUM01C01,Seasonally Adjusted Monthly Unemployment,200003,2000,March,316,15 - 74 years,Both sexes,Thousand,85.5
